activation,test_acc,precision_macro,recall_macro,f1_macro,best_epoch
relu,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,112
sigmoid,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,71
tanh,0.9,0.9023569023569024,0.9,0.899749373433584,36
