Model,Accuracy,Precision_macro,Recall_macro,F1_macro,AUC_macro,Train_time_sec,Predict_time_sec
Decision Tree,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9716666666666667,0.0030012130737304688,0.0012726783752441406
Logistic Regression,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9966666666666667,0.006367683410644531,0.0
KNN,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9933333333333333,0.003273487091064453,0.0029997825622558594
